,Name,City,Country,IATA,Latitude,Longitude,Altitude,Type
0,Comodoro Pierrestegui Airport,Concordia,Argentina,COC,-31.2969,-57.9966,112.0,airport
1,Gualeguaychu Airport,Gualeguaychu,Argentina,GHU,-33.0103,-58.6131,75.0,airport
2,Junin Airport,Junin,Argentina,JNI,-34.5459,-60.9306,262.0,airport
3,General Urquiza Airport,Parana,Argentina,PRA,-31.7948,-60.4804,242.0,airport
4,Islas Malvinas Airport,Rosario,Argentina,ROS,-32.9036,-60.785,85.0,airport
5,Sauce Viejo Airport,Santa Fe,Argentina,SFN,-31.7117,-60.8117,55.0,airport
6,Jorge Newbery Airpark,Buenos Aires,Argentina,AEP,-34.5592,-58.4156,18.0,airport
7,Ingeniero Ambrosio Taravella Airport,Cordoba,Argentina,COR,-31.323601,-64.208,1604.0,airport
8,Chamical Airport,Gobernador Gordillo,Argentina,\N,-30.34530067,-66.29360198,1502.0,airport
9,San Fernando Airport,San Fernando,Argentina,FDO,-34.4532,-58.5896,10.0,airport
10,Mariano Moreno Airport,Jose C. Paz,Argentina,\N,-34.5606,-58.7896,105.0,airport
11,La Plata Airport,La Plata,Argentina,LPG,-34.9722,-57.8947,72.0,airport
12,Moron Airport,Moron,Argentina,\N,-34.6763,-58.6428,95.0,airport
13,El Palomar Airport,El Palomar,Argentina,EPA,-34.6099,-58.6126,59.0,airport
14,Chos Malal Airport,Chosmadal,Argentina,HOS,-37.4446983337,-70.2225036621,2788.0,airport
15,Dr. Arturo H. Illia Airport,Fuerte Gral Roca,Argentina,GNR,-39.0007019043,-67.6204986572,852.0,airport
16,El Plumerillo Airport,Mendoza,Argentina,MDZ,-32.8316993713,-68.7929000854,2310.0,airport
17,Comodoro D.R. Salomón Airport,Malargue,Argentina,LGS,-35.493598938,-69.5743026733,4685.0,airport
18,Suboficial Ay Santiago Germano Airport,San Rafael,Argentina,AFA,-34.588299,-68.4039,2470.0,airport
19,Catamarca Airport,Catamarca,Argentina,CTC,-28.5956001282,-65.751701355,1522.0,airport
20,Vicecomodoro Angel D. La Paz Aragonés Airport,Santiago Del Estero,Argentina,SDE,-27.7655563354,-64.3099975586,656.0,airport
21,Tinogasta Airport,Tinogasta,Argentina,\N,-28.0377998352,-67.5802993774,3968.0,airport
22,Capitan V A Almonacid Airport,La Rioja,Argentina,IRJ,-29.3815994263,-66.7957992554,1437.0,airport
23,Chilecito Airport,Chilecito,Argentina,\N,-29.2238998413,-67.4389038086,3099.0,airport
24,Teniente Benjamin Matienzo Airport,Tucuman,Argentina,TUC,-26.8409,-65.104897,1493.0,airport
25,Domingo Faustino Sarmiento Airport,San Juan,Argentina,UAQ,-31.571501,-68.418198,1958.0,airport
26,Area De Material Airport,Rio Cuarto,Argentina,RCU,-33.0850982666,-64.2612991333,1380.0,airport
27,Villa Dolores Airport,Villa Dolores,Argentina,VDR,-31.9451999664,-65.1463012695,1847.0,airport
28,La Quiaca Airport,Laboulaye,Argentina,\N,-22.1506004333,-65.57749938959999,11414.0,airport
29,Marcos Juarez Airport,Marcos Juarez,Argentina,\N,-32.6836,-62.157801,360.0,airport
30,Villa Reynolds Airport,Villa Reynolds,Argentina,VME,-33.7299003601,-65.3873977661,1591.0,airport
31,Brigadier Mayor D Cesar Raul Ojeda Airport,San Luis,Argentina,LUQ,-33.2732009888,-66.3563995361,2328.0,airport
32,Corrientes Airport,Corrientes,Argentina,CNQ,-27.4455,-58.7619,202.0,airport
33,Resistencia International Airport,Resistencia,Argentina,RES,-27.45,-59.0561,173.0,airport
34,Formosa Airport,Formosa,Argentina,FMA,-26.2127,-58.2281,193.0,airport
35,Cataratas Del Iguazú International Airport,Iguazu Falls,Argentina,IGR,-25.737301,-54.4734,916.0,airport
